recommendationid,author,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,hidden_in_steam_china,steam_china_location
133124654,"{'steamid': '76561198452727837', 'num_games_owned': 72, 'num_reviews': 1, 'playtime_forever': 4627, 'playtime_last_two_weeks': 0, 'playtime_at_review': 4535, 'last_played': 1676757531}",koreana,개존잼,1676750840,1676750840,True,0,0,0,0,True,False,False,True,
133122596,"{'steamid': '76561199030410069', 'num_games_owned': 0, 'num_reviews': 18, 'playtime_forever': 1915, 'playtime_last_two_weeks': 0, 'playtime_at_review': 586, 'last_played': 1701575556}",koreana,다 좋은데 번역이 가끔가다 좀 퀄리티가 떨어짐 헤브리디안 블랙이 헤브리디안 검은 으로 번역된다던가 이 부분 말고는 정말 잘 만들고 영화에 대한 고증이 잘 된 것 같음 해덕이라면 안 하면 손해 해덕이 아니더라도 해보면 재밌을 거라 생각함,1676748614,1676748614,True,0,0,0,0,True,False,False,True,
133122508,"{'steamid': '76561198094132567', 'num_games_owned': 0, 'num_reviews': 14, 'playtime_forever': 1912, 'playtime_last_two_weeks': 0, 'playtime_at_review': 312, 'last_played': 1704756776}",koreana,단점 최적화가 정말 안 좋음 는 덕지 묻어 영국에 있는 호그와트에 흑인과 동양인이 백인보다 많음 모드를 사용하지 않으면 내 캐릭터도 장애가 있는것처럼 생김 유비식 오픈월드라 같음을 느낄 수 있음 장점 마법을 이용한 콤보 전투 해리포터 팬이라면 보는것만으로도 즐거운 호그와트성과 각 기숙사의 생김새,1676748517,1679437057,True,0,0,0,0,False,False,False,True,
133118930,"{'steamid': '76561198012915678', 'num_games_owned': 0, 'num_reviews': 63, 'playtime_forever': 3585, 'playtime_last_two_weeks': 0, 'playtime_at_review': 3541, 'last_played': 1709169787}",koreana,이때까지 나온 해리포터게임들중 가장 잘만든 게임,1676744847,1710832237,True,0,0,0,0,True,False,False,True,
133117934,"{'steamid': '76561197988557317', 'num_games_owned': 0, 'num_reviews': 16, 'playtime_forever': 201, 'playtime_last_two_weeks': 0, 'playtime_at_review': 201, 'last_played': 1676553846}",koreana,미친 프레임 드랍 시장은 망했어,1676743882,1676743882,False,0,0,0,0,True,False,False,True,
133117347,"{'steamid': '76561198054102066', 'num_games_owned': 0, 'num_reviews': 9, 'playtime_forever': 6942, 'playtime_last_two_weeks': 0, 'playtime_at_review': 613, 'last_played': 1678540297}",koreana,발적화를 제외하곤 재미있는데용,1676743302,1676743302,True,0,0,0,0,False,False,False,True,
133117055,"{'steamid': '76561198066738500', 'num_games_owned': 50, 'num_reviews': 10, 'playtime_forever': 3220, 'playtime_last_two_weeks': 0, 'playtime_at_review': 347, 'last_played': 1711201970}",koreana,레벨리오 띠링,1676743004,1676743004,True,1,0,0.5,0,True,False,False,True,
133114030,"{'steamid': '76561198008026733', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 1759, 'playtime_last_two_weeks': 0, 'playtime_at_review': 1759, 'last_played': 1676623418}",koreana,온라인 게임만 하던 본인에게 솔로 게임의 묘미를 느끼게 해줌,1676739967,1676739967,True,0,0,0,0,True,False,False,True,
133113805,"{'steamid': '76561198796604444', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 6288, 'playtime_last_two_weeks': 0, 'playtime_at_review': 471, 'last_played': 1685455166}",koreana,아주 잼이 있습니다 따봉발싸,1676739759,1676739759,True,0,0,0,0,False,False,False,True,
133113112,"{'steamid': '76561198286539169', 'num_games_owned': 94, 'num_reviews': 5, 'playtime_forever': 6080, 'playtime_last_two_weeks': 0, 'playtime_at_review': 4990, 'last_played': 1677758509}",koreana,죽음을 먹는 자를 꿈꾸며 슬리데린으로 시작하지만 이상하게 선택지는 착실하게 후플푸프 빙의하게 됨 캐릭터 키우다보니 볼드모트가 줫밥같이 느껴져서 죽먹자를 탈퇴하기로 함,1676739153,1676739153,True,0,0,0,0,True,False,False,True,
133110751,"{'steamid': '76561198138761428', 'num_games_owned': 75, 'num_reviews': 1, 'playtime_forever': 5046, 'playtime_last_two_weeks': 0, 'playtime_at_review': 2545, 'last_played': 1701671224}",koreana,해리포터 팬이고 호그와트를 뛰놀고 싶다면 무조건 구매하시길 스토리는 고전영웅소설 구성을 지나칠 정도로 충실히 따름 그래서 오히려 더 즐기 편하고 마법세계 몰입을 해치지 않았던 것 같음 선택지 시스템이 있지만 스토리 개연성과 선택지 자유도 사이를 타협한 느낌 아직은 초기라서 적의 수가 그렇게 다양하진 않지만 일곱 권 내 메인 적이 인간 슬리데린 죽먹자 마법부 등 그나마 디멘터 뿐인 원작을 생각하면 꽤 다양하게 나온 편 트롤 권 거미 권 등 일회성 적들,1676736984,1676736984,True,0,0,0,0,True,False,False,True,
